game_lineups_id,date,game_id,player_id,club_id,player_name,type,position,number,team_captain
86048604b6f23952e14522fb25122626,2014-04-27,2332251,3202,31,Kolo Touré,substitutes,Centre-Back,4,0
52a4e8eec3843e58e183d110db2ba9e4,2014-04-27,2332251,3357,631,Mark Schwarzer,starting_lineup,Goalkeeper,23,0
fdaaf1dbeb4d2189499bb91e1682ec04,2014-04-26,2332253,1368,379,Guy Demel,starting_lineup,Right-Back,20,0
8722022e4ff06ed3f06f23777cd1b9d3,2014-04-26,2332253,3179,379,Carlton Cole,substitutes,Centre-Forward,24,0
b44d9db7e5831e9f5bddbad4d33ac054,2014-05-04,2332254,132,11,Tomas Rosicky,substitutes,Right Winger,7,0
b5f4e68e58df770079aaf936efd5ba8d,2014-05-11,2332255,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
4dcd655a5286a78ae56e91d98cefc424,2014-05-11,2332255,3179,379,Carlton Cole,substitutes,Centre-Forward,24,0
d01b311cd399fe80bd09b17b8adb0e6a,2014-05-11,2332255,3333,281,James Milner,substitutes,Right Midfield,7,0
95db7d7102bce981fd848b6ee2fd1c49,2014-05-04,2332256,3160,631,John Terry,starting_lineup,Centre-Back,26,1
3ca0ed9f11c93c924e8c18e39df87593,2014-05-04,2332256,3163,631,Frank Lampard,starting_lineup,Central Midfield,8,0
449cd7ccecbae9ec9bf6e7a7ebe50a03,2014-05-04,2332256,3182,631,Ashley Cole,starting_lineup,Left-Back,3,0
35d31c2e86c3649fcc775bb12dcdd596,2014-05-04,2332256,3357,631,Mark Schwarzer,starting_lineup,Goalkeeper,23,0
25fd54d69efc3ed378bb17c260d36271,2014-04-26,2332257,1662,931,Sascha Riether,starting_lineup,Right Midfield,27,0
4943a6b9e5d6c96dfbf302b116d1bbeb,2014-04-26,2332257,2857,3008,Eldin Jakupović,substitutes,Goalkeeper,16,0
c4c0fd3bbf8cda7aff89455e1e033bc7,2014-04-26,2332257,3220,931,John Arne Riise,starting_lineup,Left Midfield,3,0
79e3c3e4129735f9eea01a43a17ccd4f,2014-05-05,2332258,3109,31,Steven Gerrard,starting_lineup,Defensive Midfield,8,1
089c2c6453bc1d41d99a100e4af46fd1,2014-05-05,2332258,3202,31,Kolo Touré,substitutes,Centre-Back,4,0
98cf934308e41020490203e8bceea0a5,2014-05-03,2332259,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
0b84543281f30d729623dd91a2c6cc3c,2014-05-03,2332259,3333,281,James Milner,starting_lineup,Right Midfield,7,0
c05879f8d95d67ba330138efb93fe78e,2014-05-03,2332259,3356,29,Sylvain Distin,substitutes,Centre-Back,15,0
ac1680f9de1ad234abcad2d6c00099e1,2014-05-03,2332260,3235,985,Rio Ferdinand,starting_lineup,Centre-Back,5,0
f8cf26e7f617f21f2ce323325c08a905,2014-05-03,2332260,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
d0d19f7580fb5c5418f43401b96c11ff,2014-05-03,2332261,3276,762,Shola Ameobi,starting_lineup,Centre-Forward,23,0
1a399383642c0b23acc23c21d35dd7f5,2014-05-03,2332261,3297,603,Craig Bellamy,substitutes,Second Striker,39,0
b9b4ebfbdfc2bf4b0e256bdd5dfe3d2b,2014-05-11,2332262,3182,631,Ashley Cole,starting_lineup,Left-Back,3,1
10304533e56d147d53df318693d07309,2014-05-11,2332262,3297,603,Craig Bellamy,starting_lineup,Left Winger,39,0
c02755411ff4610a44b08444df0dd24b,2014-05-11,2332262,3357,631,Mark Schwarzer,starting_lineup,Goalkeeper,23,0
1dcb6f67ca12b10f783438f814020921,2014-05-11,2332263,3291,29,Gareth Barry,starting_lineup,Defensive Midfield,18,0
3a26dd58f68b21f115e2299bd5a646de,2014-05-11,2332263,3356,29,Sylvain Distin,starting_lineup,Centre-Back,15,0
4c7a7e748436638d2a495234ddba586d,2014-05-03,2332265,1662,931,Sascha Riether,substitutes,Right-Back,27,0
48f44f3a6b01896d32034a006b5e8af5,2014-05-03,2332265,3220,931,John Arne Riise,starting_lineup,Left-Back,3,0
d86c491c58f827eeeb2c220fedcc1aa1,2014-05-03,2332265,3306,512,Jonathan Walters,substitutes,Centre-Forward,19,0
03e69860cfb989f5e5d13af4bca30c2d,2014-05-11,2332266,3235,985,Rio Ferdinand,starting_lineup,Centre-Back,5,0
d76cc88a603ad9a0424932e986f4f4e6,2014-04-27,2332267,3297,603,Craig Bellamy,substitutes,Left Winger,39,0
a3ae45bad7b71cc5f021196101eeff34,2014-04-27,2332267,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
fe4a500587d1ea18c14d26f4d876dcb9,2014-04-05,2332268,3160,631,John Terry,starting_lineup,Centre-Back,26,1
6e859b9c3958027af25f138d9447c6d0,2014-04-05,2332268,3163,631,Frank Lampard,starting_lineup,Central Midfield,8,0
c272bbef1f46dffd04210fa8036ebf5b,2014-04-05,2332268,3182,631,Ashley Cole,substitutes,Left-Back,3,0
ece6a29cf648594045617cf74fe35f37,2014-04-05,2332268,3306,512,Jonathan Walters,substitutes,Centre-Forward,19,0
005d9a72f722d7ad592e1f5e194b8163,2014-04-05,2332268,3357,631,Mark Schwarzer,substitutes,Goalkeeper,23,0
6db706c0fcb4a75d015d13886ff58e7c,2014-04-06,2332269,132,11,Tomas Rosicky,starting_lineup,Attacking Midfield,7,0
8f6756d8cd038096ba79f9f0512e61d5,2014-04-06,2332269,3291,29,Gareth Barry,starting_lineup,Defensive Midfield,18,0
