game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2224053,244,1,3.0,Élie Baup,1423,0,11.0,Daniel Sanchez,Home,1
2224053,1423,0,11.0,Daniel Sanchez,244,1,3.0,Élie Baup,Away,0
2224058,1158,2,7.0,Christian Gourcuff,14171,1,18.0,Pascal Dupraz,Home,1
2224058,14171,1,18.0,Pascal Dupraz,1158,2,7.0,Christian Gourcuff,Away,0
2224060,273,2,5.0,Frédéric Antonetti,415,0,12.0,Alain Casanova,Home,1
2224060,415,0,12.0,Alain Casanova,273,2,5.0,Frédéric Antonetti,Away,0
2224061,583,1,1.0,Carlo Ancelotti,969,0,7.0,René Girard,Home,1
2224061,969,0,7.0,René Girard,583,1,1.0,Carlo Ancelotti,Away,0
2224063,40,1,9.0,Francis Gillot,1158,1,8.0,Christian Gourcuff,Home,0
2224063,1158,1,8.0,Christian Gourcuff,40,1,9.0,Francis Gillot,Away,0
2224067,244,1,2.0,Élie Baup,417,0,6.0,Claude Puel,Away,1
2224067,417,0,6.0,Claude Puel,244,1,2.0,Élie Baup,Home,0
2224070,273,0,10.0,Frédéric Antonetti,1421,1,16.0,Hubert Fournier,Away,0
2224070,1421,1,16.0,Hubert Fournier,273,0,10.0,Frédéric Antonetti,Home,1
2224071,244,0,3.0,Élie Baup,1147,0,13.0,Albert Emon,Home,0
2224071,1147,0,13.0,Albert Emon,244,0,3.0,Élie Baup,Away,0
2224077,583,2,1.0,Carlo Ancelotti,618,2,4.0,Christophe Galtier,Away,0
2224077,618,2,4.0,Christophe Galtier,583,2,1.0,Carlo Ancelotti,Home,0
2224082,273,2,8.0,Frédéric Antonetti,618,2,4.0,Christophe Galtier,Home,0
2224082,618,2,4.0,Christophe Galtier,273,2,8.0,Frédéric Antonetti,Away,0
2224085,244,0,3.0,Élie Baup,1041,0,2.0,Rémi Garde,Away,0
2224085,1041,0,2.0,Rémi Garde,244,0,3.0,Élie Baup,Home,0
2224088,583,2,1.0,Carlo Ancelotti,1159,1,20.0,Patrick Gabriel,Home,1
2224088,1159,1,20.0,Patrick Gabriel,583,2,1.0,Carlo Ancelotti,Away,0
2224092,244,2,3.0,Élie Baup,1095,1,20.0,Jean-Marc Furlan,Home,1
2224092,1095,1,20.0,Jean-Marc Furlan,244,2,3.0,Élie Baup,Away,0
2224093,583,0,1.0,Carlo Ancelotti,1421,1,16.0,Hubert Fournier,Away,0
2224093,1421,1,16.0,Hubert Fournier,583,0,1.0,Carlo Ancelotti,Home,1
2224095,40,1,10.0,Francis Gillot,1082,2,7.0,Rudi Garcia,Away,0
